Player,Team,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary,PlayerID
Garrison Mathews,ATL,SG,27.0,66.0,5.0,15.030303030303031,1.5606060606060606,3.4242424242424243,0.456,1.2878787878787878,2.9242424242424243,0.44,0.2727272727272727,0.5,0.545,0.5151515151515151,0.6363636363636364,0.81,0.2575757575757575,1.1363636363636365,1.393939393939394,0.5606060606060606,0.303030303030303,0.1212121212121212,0.2878787878787879,1.7424242424242424,4.924242424242424,2230253.0,358
Kenrich Williams,OKC,PF,29.0,69.0,1.0,14.91304347826087,1.8985507246376807,4.057971014492754,0.468,0.8115942028985508,2.0434782608695654,0.397,1.0869565217391304,2.0144927536231885,0.54,0.1014492753623188,0.2028985507246377,0.5,0.8840579710144928,2.1449275362318843,3.028985507246377,1.3478260869565215,0.5507246376811594,0.1304347826086956,0.463768115942029,1.463768115942029,4.710144927536232,6669000.0,359
Chris Boucher,TOR,PF,31.0,50.0,0.0,14.1,2.2,4.34,0.507,0.62,1.88,0.33,1.58,2.46,0.642,1.42,1.84,0.772,1.24,2.9,4.14,0.46,0.28,0.48,0.56,1.36,6.44,10810000.0,360
Nicolas Batum,PHI,PF,35.0,60.0,38.0,25.48333333333333,1.933333333333333,4.266666666666667,0.453,1.2166666666666666,3.083333333333333,0.395,0.7166666666666667,1.1833333333333331,0.606,0.25,0.35,0.714,1.1666666666666667,2.966666666666667,4.133333333333334,2.1333333333333333,0.8,0.6333333333333333,0.6666666666666666,1.8166666666666669,5.333333333333333,4668000.0,361
Anthony Black,ORL,PG,20.0,69.0,33.0,16.869565217391305,1.6666666666666667,3.579710144927536,0.466,0.5362318840579711,1.3623188405797102,0.394,1.1304347826086956,2.217391304347826,0.51,0.7101449275362319,1.1594202898550725,0.613,0.4782608695652174,1.536231884057971,2.0144927536231885,1.318840579710145,0.5072463768115942,0.3043478260869565,0.8115942028985508,1.5942028985507246,4.579710144927536,7607760.0,362
Goga Bitadze,ORL,C,24.0,62.0,33.0,15.435483870967742,2.032258064516129,3.370967741935484,0.603,0.032258064516129,0.2258064516129032,0.143,2.0,3.1451612903225805,0.636,0.9193548387096774,1.403225806451613,0.655,1.7580645161290325,2.8548387096774195,4.612903225806452,1.2741935483870968,0.5161290322580645,1.1612903225806452,0.7096774193548387,1.7258064516129032,5.016129032258065,9057971.0,363
Keon Ellis,SAC,SG,24.0,57.0,21.0,17.157894736842106,1.8771929824561404,4.0701754385964914,0.461,1.2280701754385963,2.9473684210526314,0.417,0.6491228070175439,1.1228070175438596,0.578,0.4561403508771929,0.6140350877192983,0.743,0.5614035087719298,1.6140350877192982,2.175438596491228,1.4912280701754386,0.8947368421052632,0.5087719298245614,0.6491228070175439,1.9649122807017545,5.43859649122807,2120693.0,364
Torrey Craig,CHI,SF,33.0,53.0,14.0,19.79245283018868,2.037735849056604,4.735849056603773,0.43,1.1320754716981132,2.8867924528301887,0.392,0.9056603773584906,1.849056603773585,0.49,0.5094339622641509,0.6792452830188679,0.75,1.30188679245283,2.792452830188679,4.09433962264151,1.0943396226415094,0.5660377358490566,0.3962264150943396,0.6037735849056604,2.0754716981132075,5.716981132075472,2845342.0,365
Jaxson Hayes,LAL,C,23.0,70.0,5.0,12.528571428571428,1.8,2.5,0.72,0.0,0.1142857142857142,0.0,1.8,2.3857142857142857,0.754,0.7285714285714285,1.1714285714285717,0.622,0.9857142857142858,2.0285714285714285,3.0142857142857142,0.4714285714285714,0.4857142857142857,0.4142857142857143,0.6142857142857143,1.7571428571428571,4.328571428571428,2463946.0,366
Nick Smith Jr.,CHO,SG,19.0,51.0,0.0,14.294117647058824,2.215686274509804,5.666666666666667,0.391,1.2352941176470589,2.862745098039216,0.432,0.9803921568627452,2.803921568627451,0.35,0.2549019607843137,0.2941176470588235,0.867,0.3529411764705882,1.0588235294117647,1.411764705882353,1.156862745098039,0.196078431372549,0.1372549019607843,0.7647058823529411,1.0784313725490196,5.921568627450981,2587200.0,367
Joe Ingles,ORL,SF,36.0,68.0,0.0,17.191176470588236,1.4558823529411764,3.338235294117647,0.436,1.0294117647058822,2.367647058823529,0.435,0.4264705882352941,0.9705882352941176,0.439,0.4117647058823529,0.5,0.824,0.2647058823529412,1.8235294117647056,2.088235294117647,2.985294117647059,0.6323529411764706,0.0735294117647058,0.9852941176470588,1.2941176470588236,4.352941176470588,2087519.0,368
Dean Wade,CLE,PF,27.0,54.0,32.0,20.51851851851852,1.7777777777777777,4.296296296296297,0.414,1.462962962962963,3.740740740740741,0.391,0.3148148148148148,0.5555555555555556,0.567,0.3703703703703703,0.4814814814814814,0.769,0.6851851851851852,3.351851851851852,4.037037037037037,0.7962962962962963,0.7407407407407407,0.4629629629629629,0.3703703703703703,1.7222222222222223,5.388888888888889,6166667.0,369
